experiment_id,TMv,PVa,PVH,PVHap,PVHd,PVHm,ADP,PVHmm,PVHmpd,AHN,PVHp,PVHpm,PVHpv,PVi,PVp,PVpo,PVR,PVZ,RCH,LHA,LM,ARH,LPO,AVP,AVPV,SCH,LZ,MBO,ASO,SFO,SBPV,PST,PSTN,SO,NC,PVHdp,PVHf,MEPO,PVHlp,PVHmpv,MEZ,STN,MM,MPN,MPO,SUM,TM,TU,PVHpml,PVHpmm,DMHa,DMHp,DMHv,VLPO,VMH,AHNa,AHNc,AHNp,MMme,MPNc,MPNl,MPNm,VMHa,OV,VMHc,VMHdm,VMHvl,A13,ZI,FF,DMH,PD,PH,PMd,PMv,HY,PS,SUMl,SUMm,TMd,ME,VMPO,PeF,MMl,MMm,MMp,MMd
304762965,9.017724429700726e-06,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,1.1534113075765735e-07,0.0,8.369989268933354e-08,6.341506292137248e-09,0.0,0.0,5.753799111630597e-05,1.7418890135383298e-08,0.0,0.0,0.0,0.0,6.353524988581837e-05,3.23262972358553e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,8.541478060581854e-06,0.0,9.463153580656694e-06,0.0,0.0,8.753812310440853e-05,6.774038400643007e-06,1.5242421337090072e-06,,,,,,2.397585137134767e-06,0.0,,,,0.0,,,,,0.0,,,,,0.00020027189673432465,0.0,0.0,0.0,0.0,0.0,1.2287183703687432e-07,2.6009574014690534e-05,0.0,,,0.0,2.5052595247846766e-06,0.0,0.0,1.4218380861294432e-05,0.0,0.0,2.7163567409721334e-05
304996627,2.6747113528567034e-05,0.0,0.0,,0.00021470010642040457,,9.05112767585271e-05,,,4.647460935928578e-06,,,,3.2669727022820498e-06,0.00015961538279017198,9.817166214819224e-06,3.015762882531207e-05,1.483663390693181e-06,5.669253370846273e-07,0.0015533680862755614,1.0182916228677243e-05,1.7244677189393987e-06,0.000390701585494285,3.7650483937088e-06,1.7168545751910134e-05,0.0,0.0025724120198532797,0.0001625849449650269,0.0,0.0009608661048621684,0.0,0.0026113751434192166,0.0019286265348554892,0.0,,,,0.0,,,0.00036135995341705,0.0005827500715001303,0.00021690036300779075,3.667982744984887e-07,1.406347214874682e-06,0.00017402391791478797,2.0092206009950384e-05,4.0213973991191034e-05,,,,,,4.5058523723613035e-06,6.274628532163e-06,,,,6.386298012516756e-06,,,,,4.229187070951666e-05,,,,,0.005937644008100275,0.02076713602594729,0.0,0.0,0.0016828416628965604,1.9558117943000464e-07,8.0830308640676e-07,0.001206131184871915,6.77492199951982e-05,,,0.0,4.25348476772201e-06,0.0,0.000119202077924497,0.00031622738074586006,0.0003596632985787953,8.49713249802411e-06,3.351130040647e-06
304997333,1.9398228461032335e-06,0.0,0.0,,3.8686143237309844e-06,,0.0,,,1.2140509207926268e-07,,,,0.0,3.026925780535964e-05,0.0,6.321116970893934e-06,5.7591457045443966e-08,0.0,0.0,2.76898737492783e-05,1.5247463702423435e-08,0.0,0.0,1.4945286124360799e-05,0.0,3.07519988630127e-06,1.1496000489046325e-05,0.0,7.27035129846296e-05,0.0,0.0,0.0,8.675970104100732e-07,,,,0.0,,,1.3860189292741202e-05,0.0,1.7117733545225801e-06,0.0,0.0,3.2975677635241467e-05,1.4571786059358532e-06,3.294013418169127e-05,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,1.3863855547809033e-07,0.0,1.3155611751927134e-05,0.0,5.8059106616134637e-05,0.0,0.0,7.105102667498696e-06,0.0,,,0.0,2.6522940760816797e-05,0.0,0.0,0.0,0.0,2.3149592289021635e-05,6.210173023454201e-07
305235787,4.79560349844349e-09,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0646871204848906e-05,2.6060770321954063e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026874836965346335,4.98667493827324e-09,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,9.749052782740512e-06,0.0,0.0,0.0,0.0,1.7856873575731866e-08,3.60241696975839e-09,3.9770404570065605e-07,,,,,,0.0,3.0649742354370464e-05,,,,0.0,,,,,0.0,,,,,0.0008441766908166264,0.0009424263263661754,0.0,0.0,2.921948829158275e-05,0.0,0.0,0.00010584498318419012,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305380411,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,5.5027287754604e-07,0.0,2.101897543210443e-05,0.0,0.0,1.4041774203364968e-05,0.0,0.0,9.397474120803764e-06,2.8646713228237168e-05,4.5902645872747004e-05,0.0,1.015859470229751e-05,4.9750921188098495e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.9886683059075886e-05,,,1.5063466269577885e-06,0.0,0.0,0.0,5.537062780831277e-05,1.9840250892660688e-05,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,1.04872468930446e-06,0.0,0.0,9.685247219362702e-06,0.0,,,0.0,6.845282614411787e-05,0.0,0.00010971028568488835,0.0,0.0,0.0,0.0
515198413,0.005593199097364458,0.00042850003958817465,0.11160222578996451,,0.005662045851033043,,0.004146208733292817,,,0.22319480814237558,,,,0.0006225382349522593,0.0014840498917532581,0.0005784914935541347,0.08974342668404083,0.1013740484984416,0.006340474953942454,0.0939734127543135,0.00038260419412781613,0.0005308673883253364,0.0326847641798866,0.0031432917792172943,0.0006794368593169953,0.0004517392685704933,0.11994243130326147,0.001457038237739831,0.12456147365232265,0.0,0.008566895036695334,0.0,3.4660235019922526e-05,0.005296690774542704,,,,0.0008455151206916978,,,0.20200125600081006,0.0,0.0002326133175282344,0.1476207727052244,0.09454021080200598,0.00209195177929951,0.005518400660082241,0.007063422320929008,,,,,,0.006076050186939985,0.0017221779480487767,,,,0.00011533283034921567,,,,,2.8600227384884397e-06,,,,,0.00016755689636145603,0.0,0.0027050792610335272,0.0013693391949594965,0.0010635268609151172,0.004390156553122753,0.009656029376036731,0.18152719494751418,0.0005278090791967687,,,0.0052925722874122005,0.00015160578932160035,0.003380110492586684,0.14148218760269576,0.0004147829773646073,0.00016092476052992995,1.2763695840852535e-05,8.100205397360413e-05
540685246,7.44877164784328e-05,0.09738517027680896,0.19653956065280442,,0.20799774241207558,,0.0001567141815860677,,,0.17144353297324746,,,,0.005018360581708366,0.0001185988048331831,0.0007982657197076592,0.10193331319567356,0.18126042970638237,0.011484516214368412,0.0016802560360193817,0.00036700729508698326,0.005541688740539668,1.2932170019497286e-05,1.31716633767173e-05,0.00019013049359224233,4.541740058143184e-05,0.14600708394171766,0.0001124749385717551,0.010976329367831167,0.000295963906373751,0.10653088444208907,0.0006645644345771384,0.00906929835843117,0.000252991032059108,,,,4.4404968136222934e-05,,,0.18243516506867544,0.00035766506666461297,2.6653606688956004e-05,0.05575417376866176,7.2245421053808e-05,0.00021245168470777486,0.00012067594887140799,0.009639324834404722,,,,,,0.0005558621970548517,3.455109909786005e-05,,,,0.0,,,,,7.721736503281413e-05,,,,,0.00014454656244924534,2.5018984162094268e-05,0.0005478343872050501,0.00110583682169253,6.129965504464599e-05,0.0,7.198054662361531e-05,0.1734010197501296,0.00028969312139328235,,,0.00026012544178822937,0.05961498115808974,0.0006317500979404257,0.15011897915979766,6.492594508413254e-05,0.0,4.617968335521457e-06,5.394777355649194e-06
558697990,0.0005055391612751753,1.9869787395569033e-06,0.00011566696137971569,,0.0003346665723554227,,0.0049165618404382475,,,0.00026602326128850266,,,,0.000124875369244514,0.00010093890464601476,4.7138372606146676e-05,0.0014856151565856106,0.00013724139574491204,1.04267614494056e-05,0.004582849291826654,0.000517758173543822,4.1139587025766796e-05,0.008261675353845104,0.00022841400150037122,0.0003038950245498817,1.3133182512180868e-05,0.004298388774550632,0.000253579986632783,0.0006892993655823247,0.00043408538831064407,0.00017016994368983297,0.0,3.074446789879893e-07,0.0009345089131877066,,,,0.0003696287924715533,,,0.0002683040582888136,0.0,0.00011323774198126725,0.0006163331894526585,0.001267983772869618,0.00039822525607209033,0.00038249649142506293,0.0002884688667559412,,,,,,0.000842768903563676,0.000122031059505057,,,,5.861803205437843e-07,,,,,0.0,,,,,0.00562832760089711,0.0,0.00016776749164688744,0.0003356190255012097,0.0002598834885837553,2.6191443038622197e-05,0.00019034442254730631,0.0027210310483998666,0.016387886547282345,,,1.1011454216683466e-05,0.00015815405496284672,6.630696664023856e-07,0.00032256303550726075,5.358533810090684e-05,7.332371856532403e-07,0.00010316054091052383,0.0005948143608278861
581642026,1.678131949486263e-05,0.0,0.0,,0.0,,0.0,,,0.0,,,,0.0,5.347870162076274e-06,0.0,3.25607811575075e-07,1.8215141652600066e-07,0.0,0.0,7.08414521549798e-07,5.003346453682793e-07,0.0,0.0,0.0,0.0,3.9835647186022314e-07,3.0701176205967165e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,8.72458933564816e-07,0.0,0.0,0.0,0.0,4.925895289930308e-06,1.2605985640705667e-05,4.328787378613614e-06,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.21999289687027e-06,1.4882499037908773e-06,0.0,,,0.0,1.1165796045990624e-05,0.0,0.0,0.0,0.0,0.0,0.0
642180077,0.00043032586316742264,0.0,2.1940666476417665e-06,,0.0,,0.0,,,0.0,,,,0.0,1.9754322566239728e-05,4.31355925084475e-06,1.0782703008722296e-05,4.047941970693763e-06,1.2360494749467563e-06,7.111701810907119e-06,8.332506986319156e-05,8.723368776826816e-06,0.0,0.0,8.967323186416657e-06,0.0,1.37963980280465e-05,0.00011004646082360467,0.0,2.7767386024080834e-05,0.0,0.0,0.0,5.718200096300473e-06,,,,0.0,,,3.559781514773707e-05,0.0,9.534192507344361e-05,0.0,0.0,2.9230583284310598e-05,0.00032325716440411367,0.00012150256524535103,,,,,,0.00023294714477502167,0.0,,,,1.7516193167748033e-07,,,,,0.0,,,,,3.15750312559988e-10,0.0,4.0439124566433e-06,0.0,3.5332606179422535e-05,0.0,9.423993740607383e-07,2.3391989212289102e-05,0.0,,,0.0,0.0008088133227178206,0.0,0.0,0.00018069143779012733,4.20813031365508e-07,0.00020329381021122256,6.897322119814847e-05
