,count,mean,std,min,25%,50%,75%,max,mean_projection
PVHpml,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHpmm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMHa,2.0,1.4212566666666667e-05,2.009960453613177e-05,0.0,7.106283333333333e-06,1.4212566666666667e-05,2.131885e-05,2.8425133333333333e-05,1.4212566666666667e-05
DMHp,2.0,1.0942283333333333e-07,1.5474725493329078e-07,0.0,5.4711416666666664e-08,1.0942283333333333e-07,1.6413424999999999e-07,2.1884566666666666e-07,1.0942283333333333e-07
DMHv,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VLPO,50.0,0.021431876363819775,0.07368624167879206,0.0,2.3474748675604147e-05,0.0004890541706358427,0.003216991357404193,0.47827161786708433,0.021431876363819775
VMH,50.0,0.027892281568276087,0.12451224509582018,0.0,0.0,6.234014350497344e-06,0.000970120139207657,0.6493938770433786,0.027892281568276087
AHNa,2.0,2.7234916666666666e-08,3.851598852010105e-08,0.0,1.3617458333333333e-08,2.7234916666666666e-08,4.0852375e-08,5.446983333333333e-08,2.7234916666666666e-08
AHNc,2.0,5.7614166666666674e-08,8.147873588482391e-08,0.0,2.8807083333333337e-08,5.7614166666666674e-08,8.642125000000001e-08,1.1522833333333335e-07,5.7614166666666674e-08
AHNp,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMme,50.0,0.004394073773450525,0.013047856663368993,0.0,0.0,4.453163005350883e-06,0.00037848736564890465,0.0557462146786146,0.004394073773450525
MPNc,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPNl,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPNm,2.0,8.455233333333334e-09,1.1957505653029073e-08,0.0,4.227616666666667e-09,8.455233333333334e-09,1.268285e-08,1.6910466666666668e-08,8.455233333333334e-09
VMHa,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OV,50.0,0.004002879211119386,0.01510329183629562,0.0,0.0,4.227171095580081e-05,0.00020722105425230867,0.09430480836739556,0.004002879211119386
VMHc,2.0,6.259538333333333e-06,8.85232400519428e-06,0.0,3.1297691666666664e-06,6.259538333333333e-06,9.389307499999999e-06,1.2519076666666666e-05,6.259538333333333e-06
VMHdm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMHvl,2.0,4.320812900000001e-05,6.087379183066292e-05,1.63858e-07,2.16859935e-05,4.320812900000001e-05,6.473026450000001e-05,8.625240000000001e-05,4.320812900000001e-05
A13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZI,50.0,0.031090331584888404,0.0852306044379086,0.0,4.360263483352455e-06,0.00019929227375526003,0.007685766258795897,0.3868712652048161,0.031090331584888404
FF,50.0,0.011223101307909268,0.041082069324173805,0.0,0.0,5.915597509270476e-06,0.0009163195174389097,0.2657338231892594,0.011223101307909268
DMH,50.0,0.0294151717563593,0.1004637182308681,0.0,0.0,1.560641025063345e-05,0.002410459587096449,0.5304312175804848,0.0294151717563593
PD,50.0,0.021199682662893307,0.09569197812515653,0.0,0.0,0.0,0.0006770287002873005,0.645636765126836,0.021199682662893307
PH,50.0,0.03366122626983243,0.09029564239888443,0.0,1.925121947036464e-05,0.00017781328374842282,0.0036301698236767166,0.4117361067067498,0.03366122626983243
PMd,50.0,0.012126541382208334,0.03469448289332036,0.0,0.0,2.4109493408592606e-06,0.0015584004676999909,0.14404700609143534,0.012126541382208334
PMv,50.0,0.021755309141817586,0.08469551828248521,0.0,1.2047199742175675e-06,4.5361593046511017e-05,0.000735661321289512,0.4756247278351631,0.021755309141817586
HY,50.0,0.07109410421156948,0.14554944481463386,1.4882499037908773e-06,6.571008602677418e-05,0.00022642226977328828,0.017420981366226482,0.5252122974067889,0.07109410421156948
PS,50.0,0.03460199898759,0.1150261953378587,0.0,0.0,5.275081613788416e-06,0.0011210489574193204,0.6715173635209892,0.03460199898759
SUMl,2.0,4.04937575e-05,4.9727976173078216e-05,5.330768333333333e-06,2.2912262916666665e-05,4.04937575e-05,5.8075252083333336e-05,7.565674666666667e-05,4.04937575e-05
SUMm,2.0,1.36372e-05,1.9285913192794372e-05,0.0,6.8186e-06,1.36372e-05,2.04558e-05,2.72744e-05,1.36372e-05
TMd,50.0,0.010969974484584135,0.03965705081114784,0.0,0.0,4.429221839841786e-06,0.0004666369813556553,0.21537852800666302,0.010969974484584135
ME,50.0,0.0186255538261516,0.09586761353287926,0.0,0.00018686795268156163,0.0005922512958804729,0.0017603117852993799,0.6687157905498422,0.0186255538261516
VMPO,48.0,0.017637369570527504,0.07302504252222242,0.0,0.0,0.0,0.0008697633187469083,0.4692060565666567,0.017637369570527504
PeF,48.0,0.028928636896620025,0.07886394063875633,0.0,0.0,0.00010950064755962802,0.013846485827384816,0.48687053087601795,0.028928636896620025
MMl,48.0,0.003071552120616954,0.007774677345077206,0.0,2.7971052396734717e-05,0.00011598059937159127,0.0007138739971029608,0.03966586141806177,0.003071552120616954
MMm,48.0,0.003078623100922827,0.00960428059096569,0.0,0.0,1.487160092244555e-05,0.0003118662585585007,0.051113689805575506,0.003078623100922827
MMp,48.0,0.0020514193502957087,0.007709177854520974,0.0,8.96516716035779e-06,8.416467685469519e-05,0.0008689445343059341,0.0510988217972003,0.0020514193502957087
MMd,48.0,0.002533867035198621,0.009373403157322636,0.0,2.058413893982823e-05,0.00010179259078435757,0.000607331849650758,0.06132078109843523,0.002533867035198621
